test_number,pdf_sem,img_sem,concurrency,start_time,end_time,duration_seconds
39,12,17,21,1745870422.143897,1745871051.0944576,628.95,Success
40,12,17,34,1745871051.0945642,1745871922.2695403,871.17,Success
41,12,21,8,1745871922.2697797,1745872330.4935563,408.22,Success
42,12,21,12,1745872330.493665,1745872810.1530724,479.66,Success
43,12,21,17,1745872810.153313,1745873387.3429434,577.19,Success
44,12,21,21,1745873387.3432002,1745874041.1297174,653.79,Success
45,12,21,34,1745874041.1299598,1745874920.7929518,879.66,Success
46,12,34,8,1745874920.7932017,1745875349.348318,428.56,Success
47,12,34,12,1745875349.3485563,1745875832.033041,482.68,Success
48,12,34,17,1745875832.0332842,1745876413.8406012,581.81,Success
49,12,34,21,1745876413.8408513,1745877059.8826509,646.04,Success
50,12,34,34,1745877059.8828175,1745877835.7355533,775.85,Success
51,17,8,8,1745877835.7358057,1745878254.3370473,418.60,Success
52,17,8,12,1745878254.337288,1745878756.525774,502.19,Success
53,17,8,17,1745878756.52602,1745879319.9435096,563.42,Success
54,17,8,21,1745879319.943627,1745880022.1144722,702.17,Success
55,17,8,34,1745880022.1147122,1745880863.0378602,840.92,Success
56,17,12,8,1745880863.0380867,1745881259.8745697,396.84,Success
57,17,12,12,1745881259.874799,1745881762.431152,502.56,Success
58,17,12,17,1745881762.4313705,1745882326.134686,563.70,Success
59,17,12,21,1745882326.134905,1745882960.3342311,634.20,Success
60,17,12,34,1745882960.3344538,1745883823.864109,863.53,Success
61,17,17,8,1745883823.8643575,1745884237.081865,413.22,Success
62,17,17,12,1745884237.0820026,1745884734.0546675,496.97,Success
63,17,17,17,1745884734.0549338,1745885563.8747973,829.82,Success
64,17,17,21,1745885563.875061,1745886237.7205975,673.85,Success
65,17,17,34,1745886237.720843,1745887079.58857,841.87,Success
66,17,21,8,1745887079.5888262,1745887497.5481439,417.96,Success
67,17,21,12,1745887497.5482516,1745887964.6447659,467.10,Success
68,17,21,17,1745887964.6450071,1745888576.837829,612.19,Success
69,17,21,21,1745888576.8380764,1745889226.8303533,649.99,Success
70,17,21,34,1745889226.830594,1745890084.0577943,857.23,Success
71,17,34,8,1745890084.05804,1745890510.293371,426.24,Success
72,17,34,12,1745890510.2934787,1745891003.4770482,493.18,Success
73,17,34,17,1745891003.4772897,1745891577.2519221,573.77,Success
74,17,34,21,1745891577.2521722,1745892288.2564356,711.00,Success
75,17,34,34,1745892288.2566752,1745893112.5907588,824.33,Success
76,21,8,8,1745893112.591024,1745893545.5182562,432.93,Success
77,21,8,12,1745893545.5184968,1745894039.257658,493.74,Success
78,21,8,17,1745894039.257908,1745894657.7567804,618.50,Success
79,21,8,21,1745894657.7570262,1745895099.6089132,441.85,Success
80,21,8,34,1745895099.6091561,1745895722.8396826,623.23,Success
81,21,12,8,1745895722.8399293,1745895946.1785982,223.34,Success
82,21,12,12,1745895946.1788402,1745896240.690528,294.51,Success
83,21,12,17,1745896240.6907778,1745896606.954879,366.26,Success
84,21,12,21,1745896606.9551337,1745897042.224284,435.27,Success
85,21,12,34,1745897042.2245271,1745897587.27381,545.05,Success
86,21,17,8,1745897587.2740538,1745897803.6935148,216.42,Success
87,21,17,12,1745897803.69362,1745898106.057066,302.36,Success
88,21,17,17,1745898106.0573082,1745898457.0765347,351.02,Success
89,21,17,21,1745898457.0767753,1745898899.7324739,442.66,Success
90,21,17,34,1745898899.7327166,1745899523.2845128,623.55,Success
91,21,21,8,1745899523.2847588,1745899761.4070342,238.12,Success
92,21,21,12,1745899761.4075239,1745900052.5294724,291.12,Success
93,21,21,17,1745900052.5297062,1745900428.5157871,375.99,Success
94,21,21,21,1745900428.5160546,1745900861.0076659,432.49,Success
95,21,21,34,1745900861.0079079,1745901484.4136245,623.41,Success
96,21,34,8,1745901484.4138632,1745901717.4744978,233.06,Success
97,21,34,12,1745901717.4747393,1745901996.3484173,278.87,Success
98,21,34,17,1745901996.3486564,1745902393.9894009,397.64,Success
99,21,34,21,1745902393.9896445,1745902832.3404453,438.35,Success
100,21,34,34,1745902832.3405466,1745903455.8842535,623.54,Success
101,34,8,8,1745903455.8844934,1745903688.0285509,232.14,Success
102,34,8,12,1745903688.0287848,1745903981.9449303,293.92,Success
103,34,8,17,1745903981.9451673,1745904326.2019978,344.26,Success
104,34,8,21,1745904326.2022252,1745904770.7695932,444.57,Success
105,34,8,34,1745904770.7698216,1745905394.0966291,623.33,Success
106,34,12,8,1745905394.0968645,1745905610.6404114,216.54,Success
107,34,12,12,1745905610.6406486,1745905890.569586,279.93,Success
108,34,12,17,1745905890.5698197,1745906258.9391181,368.37,Success
109,34,12,21,1745906258.9393525,1745906700.7656105,441.83,Success
110,34,12,34,1745906700.7658594,1745907324.3516243,623.59,Success
111,34,17,8,1745907324.351859,1745907535.809526,211.46,Success
112,34,17,12,1745907535.8097672,1745907815.4945242,279.68,Success
113,34,17,17,1745907815.4947603,1745908192.0650332,376.57,Success
114,34,17,21,1745908192.0652692,1745908620.8917077,428.83,Success
115,34,17,34,1745908620.891945,1745909244.4442742,623.55,Success
116,34,21,8,1745909244.4445102,1745909467.0246823,222.58,Success
117,34,21,12,1745909467.0249183,1745909735.194544,268.17,Success
118,34,21,17,1745909735.1947858,1745910114.2048223,379.01,Success
119,34,21,21,1745910114.205066,1745910594.431856,480.23,Success
120,34,21,34,1745910594.4320905,1745911218.007206,623.58,Success
121,34,34,8,1745911218.0073054,1745911433.1244876,215.12,Success
122,34,34,12,1745911433.1247137,1745911720.217121,287.09,Success
123,34,34,17,1745911720.2173598,1745912073.8884494,353.67,Success
124,34,34,21,1745912073.888686,1745912527.73611,453.85,Success
125,34,34,34,1745912527.736348,1745913150.935966,623.20,Success
